image,scale,RMSE,PSNR,SSIM
14,0.10614238,182.10965,23.381926052776812,0.9840449264664803
11,0.11561424,156.21523,23.876888842327414,0.9898264289979012
8,0.11799241,152.32533,29.120329813699076,0.989727807080233
15,0.087228864,202.65134,23.978861038695896,0.9815007085425238
10,0.12473943,150.96796,22.80442583624387,0.9832467238919068
9,0.12476024,180.08745,26.529324358175277,0.9795376210366527
16,0.1804,198.74756,23.60817918664969,0.9826138183538632
13,0.11880981,158.96013,24.91739645036201,0.9906281518468293
17,0.20518841,196.2928,23.49703363445088,0.9875009006210552
12,0.10302307,162.4117,24.55850039712881,0.992035869067715
7,0.26570886,212.42828,31.45325758417918,0.9909305410000586
3,0.7338491,1158.5889,16.14586408195807,0.9738636144723303
6,0.23352553,308.36023,28.576291554339623,0.9854110837642864
19,0.21368681,150.65761,25.70609093994179,0.9915149457448272
5,0.25095606,405.35614,26.023681671258924,0.9802770190142817
18,0.19286819,158.3382,25.79338903038776,0.9933464629944935
1,0.7070064,944.41907,20.521858121092738,0.9798612554861653
4,0.7311528,1218.0978,17.04273056630161,0.9724661618794805
